1||2,-2.220446049250313E-16
2||3,0.0
3||4,0.0
4||5,0.0
5||6,1.1102230246251565E-16
6||7,0.0
7||8,1.1102230246251565E-16
8||9,0.0
9||10,0.0
10||11,2.220446049250313E-16
11||12,0.6946080408644275
12||13,0.04886997989600883
13||14,0.05199831422302781
14||15,0.06569862883158417
15||16,0.0934838461971611
16||17,0.046405976266226
17||18,5.848640068413236E-4
18||19,5.848640068413236E-4
19||20,0.0213123898821298
20||21,0.0013190283068775788
21||22,1.3449001133658545E-4
22||23,2.220446049250313E-16
23||24,0.00791764849759824
24||25,0.03266507349794445
25||26,4.1330101637870875E-5
26||27,4.1330101637870875E-5
27||28,2.5963185930066857E-6
28||29,3.361115217526134E-5
29||30,3.361115217526134E-5
30||31,0.003748747158644594
31||32,0.003930887956266393
32||33,0.005289039988355171
33||34,0.005283843318137138
34||35,0.0056794662033397
35||36,0.0033392350369796375
36||37,0.001226008475371243
37||38,0.002733655238450039
38||39,0.004719742519393444
39||40,0.0031093762708938044
40||41,0.006408922276851081
41||42,0.00213694977112322
42||43,0.0010726265608370644
43||44,0.0031093762708938044
44||45,0.00907246783191551
45||46,0.001695411422452553
46||47,0.0015409062405220553
47||48,0.002027273675579644
48||49,0.00125759853898888
49||50,0.0021675899369858476
50||51,0.0030322189663160026
51||52,0.0024546299990264586
52||53,0.009482981903701782
53||54,0.0031058370502389243
54||55,0.0013440041453430807
55||56,0.0019323397226262973
56||57,0.0013305818912942025
57||58,0.005064030159275146
58||59,0.006280763461987138
59||60,0.006095859568582718
60||61,0.006400830882780206
61||62,0.00417990404452373
62||63,0.0013408465725444074
63||64,0.0032389935672152426
64||65,0.005888465034480372
65||66,0.00380965195580496
66||67,0.007388253558704094
67||68,0.002638628972055357
68||69,0.001087890887999321
69||70,0.00380965195580496
70||71,0.010344313123380577
71||72,0.002100866503225274
72||73,0.002115698437592517
73||74,0.0025672918278303314
74||75,0.001082288341150206
75||76,0.0025752206842815095
76||77,0.004250632616483285
77||78,0.0030529860272000553
78||79,0.010606065284814004
79||80,0.0037553783906657534
80||81,0.0018783452406950785
81||82,0.0025175048414312062
82||83,6.008187147971134E-4
83||84,0.004462461170459009
84||85,0.005660510639933891
85||86,0.005611912898789151
86||87,0.005934185983982099
87||88,0.003734848903652277
88||89,0.0012521509691597599
89||90,0.002960731361425273
90||91,0.005290807958634236
91||92,0.003434693533562405
92||93,0.006762434539396733
93||94,0.0023908803794762123
94||95,0.0010418314530981077
95||96,0.003434693533562405
96||97,0.009608345189560885
97||98,0.0019081794004026653
98||99,0.0018663299922480059
99||100,0.00230743569097136
100||101,0.001063095765133748
101||102,0.0023627603378110207
102||103,0.0037137278766448123
103||104,0.0027580106462140597
104||105,0.009876902252782926
105||106,0.0034122435870198586
106||107,0.0016382893102913076
107||108,0.0024521177165980346
108||109,6.983949631046427E-4
109||110,0.004462461170459009
110||111,0.005660510639933891
111||112,0.005611912898789151
112||113,0.005934185983982099
113||114,0.003734848903652277
114||115,0.0012521509691597599
115||116,0.002960731361425273
116||117,0.005290807958634236
117||118,0.003434693533562405
118||119,0.006762434539396733
119||120,0.0023908803794762123
120||121,0.0010418314530981077
121||122,0.003434693533562405
122||123,0.009608345189560885
123||124,0.0019081794004026653
124||125,0.0018663299922480059
125||126,0.00230743569097136
126||127,0.001063095765133748
127||128,0.0023627603378110207
128||129,0.0037137278766448123
129||130,0.0027580106462140597
130||131,0.009876902252782926
131||132,0.0034122435870198586
132||133,0.0016382893102913076
133||134,0.0022399189246431472
134||135,9.43959336159983E-4
135||136,1.5209767751833692E-4
136||137,0.0016568364912805666
137||138,6.52752836521775E-4
138||139,0.002627954926524123
139||140,0.002627954926524123
140||141,0.005936779483850296
141||142,1.923869209008444E-5
142||143,0.0028696394904740297
143||144,1.270606679630859E-4
144||145,0.001852753984476374
145||146,1.2849909333245702E-4
